structure_group_id_v1,structure_group_size,molecule_ids_numeric_sorted,unique_donor_ids,donor_ids_numeric_sorted,unique_acceptor_ids,acceptor_ids_numeric_sorted,unique_donor_structures,unique_acceptor_structures,unique_role_aware_groups,role_annotation_consistent,atom_count_consistent,sidecar_atom_origin_consistent,dft_pdb_json_geometry_consistent,d81_a28_conflict_in_group,geometry_reference_id,geometry_resolved_comparisons,geometry_unresolved_comparisons,geometry_mapping_methods,heavy_atom_rmsd_min_angstrom,heavy_atom_rmsd_max_angstrom,geometry_unresolved_reasons,primary_range_eV,meaningful_target_disagreement_count,representative_eligible_under_strict_rule
84e461b52d33faa7f9d8ff5dae77ae10212410a1bce9a3f7f8cdcc01bde423bc,2,D68_A13;D68_A14,1,D68,2,A13;A14,1,1,1,True,True,True,True,False,D68_A13,1,0,RESOLVED_INDEX_GRAPH,0.0009108445803435073,0.0009108445803435073,,0.0008191428571427961,7,False
85bd5b721095bd2bc4ed8ddeefd8ad1366ae892e02638d4e6021efb30902fac6,2,D41_A371;D42_A371,2,D41;D42,1,A371,1,1,1,True,True,True,True,False,D41_A371,1,0,RESOLVED_INDEX_GRAPH,0.00017912092433615238,0.00017912092433615238,,4.9714285714430595e-05,4,False
863841ef88593c96ea9f4b78ef9c18c782c61b03761786fdef8c8d8ddf11a838,2,D36_A274;D36_A277,1,D36,2,A274;A277,1,1,1,True,True,True,True,False,D36_A274,1,0,RESOLVED_INDEX_GRAPH,0.00034983562408557597,0.00034983562408557597,,0.0001391428571428932,7,False
86a0630422e718b593ffae3d9e6bb016446670d50f52d033ca6865a39b12f5e0,2,D145_A23;D145_A30,1,D145,2,A23;A30,1,2,2,False,True,True,True,False,D145_A23,1,0,RESOLVED_INDEX_GRAPH,0.00036540513659775905,0.00036540513659775905,,0.00014971428571419754,4,False
8847a1d827cc459754e4d141991db0859e9c4c5bb6f3cd31fc346f317ce8c6fc,2,D41_A42;D42_A42,2,D41;D42,1,A42,1,1,1,True,True,True,True,False,D41_A42,1,0,RESOLVED_INDEX_GRAPH,0.0011010006042765075,0.0011010006042765075,,0.00011457142857151936,11,False
889d62a48b0aa98b9bedda8f553fd31df8658e0781163a1ad5afb621accbca2f,2,D41_A147;D42_A147,2,D41;D42,1,A147,1,1,1,True,True,True,True,False,D41_A147,1,0,RESOLVED_INDEX_GRAPH,0.0014986127371200446,0.0014986127371200446,,0.00022371428571432705,10,False
88e830c528ce5a9f21b384ca4a69872b57bc06aa09224dfe403b171cc187f458,2,D169_A274;D169_A277,1,D169,2,A274;A277,1,1,1,True,True,True,True,False,D169_A274,1,0,RESOLVED_INDEX_GRAPH,0.15882619128362435,0.15882619128362435,,0.010427714285714207,18,False
8b687fba2a7bffdc956f703bdd65887931f5430093a48c8e1d9c19a815c03cbd,2,D71_A182;D71_A187,1,D71,2,A182;A187,1,2,2,False,True,True,True,False,D71_A182,1,0,RESOLVED_INDEX_GRAPH,0.0006504838017530053,0.0006504838017530053,,0.00021885714285718727,8,False
8ba893a97f4582e5e6ded3473b2c8937e9da9a94afa207ee0547e9a675a87704,2,D11_A182;D11_A187,1,D11,2,A182;A187,1,2,2,False,True,True,True,False,D11_A182,1,0,RESOLVED_INDEX_GRAPH,7.129541623027554e-07,7.129541623027554e-07,,0.0,0,False
8c8df2ccc86bf8566e8717d9f5a952ef1d84fca76855d463c79b6902fb770ea8,2,D41_A332;D42_A332,2,D41;D42,1,A332,1,1,1,True,True,True,True,False,D41_A332,1,0,RESOLVED_INDEX_GRAPH,2.4306258367776717e-06,2.4306258367776717e-06,,2.8571428578594293e-07,0,True
8d68a09f61b4c15a3b824875cecec4906fc5c9ef3c712c6750fa8dbfa1911021,2,D62_A185;D62_A186,1,D62,2,A185;A186,1,2,2,False,True,True,True,False,D62_A185,1,0,RESOLVED_INDEX_GRAPH,5.016952037771729,5.016952037771729,,0.09306457142857139,20,False
8da55e81d298ea3da1d356429844362c3cb44d738f4700bf1c98a0a81ac20684,2,D52_A190;D53_A190,2,D52;D53,1,A190,2,1,2,False,True,True,True,False,D52_A190,1,0,RESOLVED_INDEX_GRAPH,0.0013245927901196202,0.0013245927901196202,,0.00022171428571432505,9,False
8e014871bf4494fd820e4b40c7dd2b38da8639fce46bc13a26595c665c3bdf59,2,D169_A185;D169_A186,1,D169,2,A185;A186,1,2,2,False,True,True,True,False,D169_A185,1,0,RESOLVED_INDEX_GRAPH,6.290239190786313e-07,6.290239190786313e-07,,2.8571428567492063e-07,0,False
