sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-28_A-286,0.6581501371090349,0.7519647,0.65815014,0.6337886,0.65815014,0.6528554,0.65815014,0.6562238,0.6476225999999999,0.09381456289096513,0.010527537109034979,0.08328702578193015
D-127_A-354,0.898838735795691,0.82219666,0.89883876,0.8978435,0.89883876,0.84227824,0.89883876,0.869902,0.8700079133333333,0.07664207579569093,0.028830822462357686,0.04781125333333325
D-152_A-322,0.7517573057952337,0.6781631,0.7517573,0.6300013,0.7517573,0.6537882,0.7517573,0.6461551,0.6433148666666667,0.07359420579523368,0.10844243912856699,-0.03484823333333331
D-127_A-16,1.0191052883211733,0.95896745,1.0191053,0.9616828,1.0191053,1.0448222,1.0191053,1.0855025,1.0306691666666665,0.060137838321173254,0.011563878345493217,0.04857395997568004
D-88_A-366,0.6978165635739009,0.65548635,0.69781655,0.61233807,0.69781655,0.62047,0.69781655,0.66245544,0.6317545033333333,0.04233021357390088,0.0660620602405676,-0.023731846666666723
D-45_A-342,0.8283223720096593,0.8610417,0.82832235,0.8021985,0.82832235,0.86597973,0.82832235,0.78889155,0.8190232600000001,0.03271932799034072,0.00929911200965916,0.023420215980681558
D-45_A-184,0.6298969435039147,0.96563804,0.62989694,0.88323045,0.62989694,0.97480696,0.62989694,0.9188436,0.9256270033333335,0.3357410964960853,0.2957300598294188,0.0400110366666665
D-156_A-165,0.7488651241713743,0.7307385,0.7488651,0.72685087,0.7488651,0.69237185,0.7488651,0.6988139,0.7060122066666666,0.01812662417137434,0.042852917504707655,-0.024726293333333316
D-167_A-343,0.7914548309872378,0.9287025,0.79145485,0.88378465,0.79145485,0.88379836,0.79145485,0.87350845,0.88036382,0.1372476690127622,0.08890898901276223,0.04833867999999997
D-154_A-190,1.0426237007194916,0.94448286,1.0426238,0.67763376,1.0426238,0.63124675,1.0426238,0.75842,0.68910017,0.09814084071949158,0.3535235307194916,-0.25538269
D-82_A-89,0.7580470233589491,0.74380916,0.75804704,0.7612773,0.75804704,0.9783591,0.75804704,0.8104389,0.8500251,0.014237863358949165,0.09197807664105084,-0.07774021328210168
D-143_A-236,0.7561733250488683,0.6660227,0.7561733,0.6359749,0.7561733,0.6091831,0.7561733,0.6054597,0.6168725666666667,0.09015062504886828,0.13930075838220157,-0.04915013333333329
D-140_A-233,0.6633824979500492,0.78582287,0.6633825,0.6789664,0.6633825,0.72649217,0.6633825,0.7052456,0.7035680566666667,0.12244037204995073,0.04018555871661744,0.08225481333333329
D-107_A-42,0.8826285242748667,0.8727802,0.8826285,0.7955793,0.8826285,0.74365187,0.8826285,0.7606312,0.7666207899999998,0.009848324274866704,0.11600773427486688,-0.10615941000000018
D-24_A-117,0.6553434769848059,0.69696766,0.6553435,0.7090272,0.6553435,0.6939552,0.6553435,0.7204006,0.7077943333333333,0.041624183015194105,0.05245085634852742,-0.010826673333333314
D-7_A-42,0.9161918255388468,0.96249557,0.9161918,0.9710592,0.9161918,0.92617065,0.9161918,0.9875978,0.9616092166666667,0.04630374446115315,0.04541739112781984,0.0008863533333333118
D-24_A-166,0.8809336436458309,0.79987,0.88093364,0.98071456,0.88093364,0.88342416,0.88093364,0.9059801,0.92337294,0.08106364364583096,0.0424392963541691,0.038624347291661865
D-99_A-232,0.6325947580831598,0.6275915,0.63259476,0.5561042,0.63259476,0.5112342,0.63259476,0.5504972,0.5392785333333334,0.005003258083159823,0.09331622474982637,-0.08831296666666655
D-110_A-366,0.5736471207925653,0.6009245,0.57364714,0.65085375,0.57364714,0.64020133,0.57364714,0.6661813,0.6524121266666666,0.02727737920743467,0.07876500587410129,-0.05148762666666662
D-113_A-53,0.6044504100230237,0.6102556,0.6044504,0.61331654,0.6044504,0.60262513,0.6044504,0.6045226,0.6068214233333333,0.0058051899769763216,0.0023710133103096442,0.0034341766666666773
D-89_A-338,0.9779150242265322,0.99952203,0.97791505,0.9868717,0.97791505,1.0108225,0.97791505,0.9782556,0.9919832666666667,0.021607005773467747,0.014068242440134493,0.007538763333333254
D-47_A-177,0.682119481050858,0.85770994,0.6821195,0.8038682,0.6821195,0.789999,0.6821195,0.80688095,0.8002493833333334,0.17559045894914205,0.11812990228247544,0.05746055666666661
D-34_A-354,0.7696779473086629,0.83442897,0.76967794,0.78351414,0.76967794,0.8003546,0.76967794,0.8109515,0.7982734133333333,0.06475102269133715,0.028595466024670446,0.0361555566666667
D-132_A-201,0.5839796728842561,0.69039446,0.58397967,0.64930356,0.58397967,0.6659009,0.58397967,0.6683121,0.6611721866666667,0.10641478711574393,0.07719251378241054,0.02922227333333338
D-154_A-317,0.6846929007215501,0.64153105,0.6846929,0.6431328,0.6846929,0.5991641,0.6846929,0.67175066,0.6380158533333333,0.0431618507215501,0.046677047388216764,-0.0035151966666666645
D-127_A-41,0.5979896494600476,0.73671454,0.5979897,0.69613063,0.5979897,0.6485186,0.5979897,0.6944283,0.6796925100000001,0.1387248905399524,0.08170286053995246,0.057022029999999946
D-29_A-293,0.5936358276606896,0.68488806,0.59363586,0.6255152,0.59363586,0.6066916,0.59363586,0.63942087,0.62387589,0.09125223233931046,0.030240062339310425,0.06101217000000003
D-7_A-295,0.9116825101037974,1.0030338,0.9116825,0.90279055,0.9116825,0.8871416,0.9116825,0.9511957,0.9137092833333332,0.09135128989620267,0.0020267732295358165,0.08932451666666685
D-22_A-59,0.7377628785830112,0.7007786,0.73776287,0.63707566,0.73776287,0.6078874,0.73776287,0.6494571,0.6314733866666666,0.03698427858301112,0.10628949191634451,-0.0693052133333334
D-3_A-137,0.7549449253269065,0.76857376,0.7549449,0.71650994,0.7549449,0.76759106,0.7549449,0.8312285,0.7717765,0.013628834673093504,0.016831574673093486,-0.0032027399999999817
D-140_A-269,0.7834080353402099,0.83728224,0.78340805,0.76006246,0.78340805,0.73999095,0.78340805,0.70175195,0.7339351199999999,0.05387420465979009,0.04947291534020992,0.0044012893195801706
D-140_A-111,0.6268181695172259,0.62887484,0.6268182,0.5578619,0.6268182,0.6158651,0.6268182,0.61115944,0.5949621466666667,0.0020566704827741367,0.03185602285055922,-0.02979935236778508
D-22_A-94,0.6581734611543885,0.6969626,0.65817344,0.6409321,0.65817344,0.6239407,0.65817344,0.6472144,0.6373624,0.038789138845611526,0.020811061154388466,0.01797807769122306
D-118_A-13,1.0431368297172732,0.9887853,1.0431368,0.98517776,1.0431368,1.0111736,1.0431368,1.007759,1.00137012,0.054351529717273195,0.04176670971727314,0.012584820000000052
D-27_A-281,0.7880339710020279,0.91070074,0.78803396,0.62565124,0.78803396,0.63646233,0.78803396,0.6543993,0.6388376233333334,0.12266676899797213,0.1491963476686945,-0.026529578670722365
D-87_A-144,0.5849515081073271,0.6082175,0.5849515,0.62652814,0.5849515,0.6042835,0.5849515,0.6021297,0.6109804466666667,0.023265991892672866,0.02602893855933963,-0.0027629466666667657
